,npi
3858958,1306906854
3867682,1417008756
3873345,1598714784
3873558,1184727745
3876936,1972554228
3880432,1841322104
3884746,1598714784
3888460,1104898634
3888593,1386670461
3891731,1053360966
3893991,1285663682
3903874,1598718520
3903984,1891803318
3907654,1598714784
3912800,1053360966
3932634,1316073455
3944343,1164436960
3951373,1639395395
3958488,1164436960
3964963,1013009729
3967286,1972554228
3975628,1285663682
3978019,1245210764
3981481,1891803318
3982268,1487629796
3986547,1366564122
3986754,1336246487
3988189,1104898634
3991946,1972554228
4007896,1598718520
4019120,1598714784
4019720,1376550442
4031197,1336186600
4041165,1891803318
4041248,1922005321
4042033,1346207776
4044498,1013009729
4045707,1285663682
4050285,1902916984
4054574,1497745905
4073302,1013009729
4074002,1720101900
4074854,1164515003
4076789,1093726556
4095083,1639395395
4103598,1417008756
4114831,1164515003
4134521,1770542151
4139424,1639395395
4141188,1881782373
4142845,1598714784
4143860,1528088325
4161947,1154471621
4163004,1336186600
4167208,1538237482
4178496,1053486704
4181737,1467474882
4186469,1467474882
4187705,1720101900
4205680,1003892746
4212170,1396744892
4223279,1598714784
4223528,1528088325
4226049,1467474882
4227324,1104898634
4228428,1013009729
4231858,1003892746
4236743,1104898634
4247800,1952395881
4247857,1316073455
4251643,1164515003
4252125,1336186600
4260655,1972554228
4265328,1396744892
4274724,1285663682
4292054,1497745905
4295428,1770542151
4313351,1770542151
4315199,1336186600
4315505,1598714784
4317440,1770542151
4325018,1033126651
4327259,1285663682
4342678,1285663682
4342867,1164436960
4343296,1598714784
4344067,1902874456
4352075,1841322104
4352172,1417008756
4361805,1285725051
4362181,1487889036
4367046,1538237482
4369203,1467474882
4370904,1770542151
4370949,1598714784
4370977,1316073455
4374399,1821037094
4379704,1376550442
4386213,1902916984
4390020,1285663682
4393203,1164436960
4400602,1053486704
4401700,1235200775
4409511,1891803318
4436202,1598714784
4449259,1346207776
4450475,1902916984
4455594,1285725051
4457847,1497745905
4462598,1982609723
4473582,1528088325
4478111,1982609723
4493969,1336186600
4509546,1730231259
4525585,1164515003
4531459,1598714784
4531680,1598714784
4540917,1417008756
4541716,1013009729
4564337,1720101900
4564448,1497745905
4564602,1205023512
4570063,1528088325
4597598,1285725051
4600711,1134280779
4601247,1770542151
4609046,1104898634
4616838,1962594895
4621627,1013009729
4626046,1770542151
4626096,1336186600
4629037,1467474882
4629481,1598714784
4630258,1316073455
4631316,1902916984
4642205,1891803318
4660936,1225111933
4668104,1053486704
4669136,1336186600
4679600,1053360966
4688146,1902916984
4702688,1336186600
4711197,1386670461
4722913,1164436960
4728765,1245210764
4759546,1245210764
4774686,1972554228
4780107,1285663682
4789360,1982609723
4793248,1891803318
4798551,1891803318
4804781,1417008756
4806372,1104898634
4809314,1013009729
4810561,1962594895
4821547,1346207776
4833051,1053360966
4834769,1639395395
4836677,1346207776
4842275,1376550442
4848743,1053360966
4858793,1205023512
4863010,1528088325
4868255,1285663682
4880550,1598714784
4887226,1720101900
4887242,1134280779
4896392,1134280779
4900466,1467474882
4914038,1841322104
4914782,1093726556
4915506,1639395395
4920523,1902916984
4921881,1730231259
4931046,1982609723
4931152,1902916984
4936684,1184727745
4941748,1285663682
4943915,1336186600
4957390,1285663682
4972072,1013009729
4972125,1982609723
4985267,1164515003
4988012,1841322104
4993842,1053360966
4994407,1598718520
4994693,1770542151
4995525,1891803318
5001426,1033126651
5004721,1003892746
5005864,1972554228
5028411,1538237482
5033978,1891803318
5038555,1770542151
5039230,1164436960
5045745,1093726556
5050007,1235200775
5059780,1720155419
5068261,1245210764
5069895,1336186600
5073826,1104898634
5075713,1013999002
5078107,1528088325
5080219,1538237482
5081367,1104898634
5086352,1417008756
5099989,1598714784
5105018,1598714784
5105813,1467474882
5113229,1891803318
5114349,1285663682
5119366,1134280779
5125847,1689605818
5127362,1336186600
5128855,1043219454
5147618,1104898634
5149504,1598714784
5155242,1467519124
5155650,1962594895
5155807,1770542151
5160847,1467474882
5169548,1598714784
5169604,1013009729
5179045,1053360966
5182773,1417008756
5185217,1639395395
5194690,1053360966
5206371,1528088325
5207896,1053360966
5211722,1598714784
5217088,1720101900
5227593,1134280779
5232371,1447327952
5232638,1164436960
5249904,1487629796
5251041,1285663682
5252745,1891803318
5266043,1285725051
5278503,1902916984
5283892,1891803318
5296197,1982609723
5305745,1013009729
5307472,1497745905
5311056,1417008756
5314028,1598714784
5322563,1467474882
5324202,1295705291
5324234,1104898634
5328738,1467474882
5336505,1184785354
5338644,1073511192
5341690,1245210764
5343593,1538237482
5344268,1972554228
5346801,1205023512
5347039,1538237482
5350776,1346207776
5355509,1467519124
5373666,1164436960
5374782,1093726556
5384237,1376550442
5384938,1841322104
5386637,1841322104
5415209,1841322104
5423271,1093726556
5429402,1376550442
5438006,1376550442
5441388,1053486704
5450116,1184727745
5454602,1598714784
5459417,1891803318
5460409,1417008756
5462048,1053486704
5462896,1770542151
5471877,1386670461
5487019,1598110710
5499808,1013009729
5500784,1386670461
5506660,1336186600
5531800,1053360966
5539185,1720101900
5539247,1245210764
5544898,1770542151
5554361,1417008756
5557686,1184727745
5557890,1730231259
5568936,1720101900
5573132,1386670461
5576268,1598714784
5584644,1952395881
5590413,1104898634
5591086,1841322104
5593807,1053486704
5599644,1598714784
5600240,1982609723
5606509,1891803318
5610702,1417008756
5615194,1770542151
5618447,1902916984
5627953,1053360966
5633847,1467474882
5640988,1598714784
5650331,1598718520
5651316,1467474882
5653619,1891803318
5654862,1538237482
5677572,1285663682
5680454,1417008756
5686571,1225111933
5704467,1598714784
5711684,1922005321
5715401,1902916984
5716047,1396744892
5743343,1417008756
5743456,1003892746
5745783,1346207776
5755833,1730231259
5757820,1972554228
5764099,1346207776
5768330,1013009729
5768805,1982609723
5769859,1164515003
5772960,1528088325
5778375,1770542151
5780476,1487629796
5784637,1346207776
5787054,1245210764
5787737,1881615268
5796738,1003892746
5799177,1134280779
5799535,1336186600
5800818,1184785354
5815259,1164436960
5817292,1598714784
5826721,1841322104
5832002,1902874456
5838299,1841322104
5842350,1831339902
5843256,1346345071
5843369,1316073455
5864573,1528088325
5865480,1982609723
5870090,1902874456
5872394,1164436960
5876090,1417008756
5881479,1205023512
5886194,1053360966
5887642,1346207776
5887847,1053486704
5888851,1598714784
5891827,1235211095
5897700,1417008756
5906739,1255452454
5907019,1285663682
5910909,1285663682
5911180,1003892746
5912062,1972554228
5916862,1134280779
5919905,1902916984
5922352,1003892746
5923909,1285663682
5928510,1770542151
5932985,1346207776
5936017,1386670461
5936280,1902916984
5959251,1396744892
5966622,1598714784
5986093,1417008756
5988835,1164515003
6001627,1902916984
6008674,1730231259
6016608,1386670461
6016654,1245210764
6026904,1346207776
6028321,1386670461
6028751,1396744892
6032258,1417008756
6047751,1417008756
6048735,1053360966
6067082,1831339902
6079771,1386670461
6086017,1598714784
6097525,1497745905
6099320,1417008756
6099955,1386670461
6101971,1639395395
6106856,1487629796
6121171,1104898634
6124485,1336186600
6133585,1134280779
6145698,1972554228
6146876,1104898634
6151401,1164436960
6158839,1902916984
6181222,1417008756
6183902,1104898634
6187846,1417008756
6194656,1164436960
6199928,1891803318
6205483,1730231259
6205848,1245210764
6206543,1053360966
6207239,1902874456
6222352,1891803318
6226477,1598718520
6227881,1376550442
6236975,1972554228
6241345,1841322104
6243133,1164436960
6247405,1891803318
6256973,1053360966
6261563,1598714784
6261851,1215941349
6272410,1285725051
6297097,1467474882
6299519,1336186600
6307163,1952395881
6313489,1417008756
6330510,1013009729
6333238,1003892746
6334630,1891803318
6334864,1386670461
6336002,1417008756
6336040,1902916984
6339006,1346207776
6340551,1013226497
6344144,1770542151
6352755,1467519124
6352974,1104898634
6355863,1245210764
6366367,1831339902
6372347,1972554228
6373565,1285725051
6374676,1598714784
6378964,1417008756
6404707,1730231259
6414135,1184785354
6416992,1104898634
6418036,1770542151
6423588,1598714784
6423670,1467519124
6427927,1164436960
6438155,1134280779
6440710,1770542151
6443096,1972554228
6443911,1285663682
6444406,1285663682
6447102,1346207776
6451050,1245210764
6451543,1295705291
6465865,1891803318
6466031,1285663682
6466763,1285663682
6469528,1033126651
6470500,1982609723
6471346,1902874456
6479827,1417008756
6492530,1164436960
6494582,1104898634
6497239,1841322104
6502554,1497745905
6504835,1033126651
6506220,1720101900
6506920,1639395395
6519692,1730231259
6523084,1396744892
6535685,1598714784
6548768,1902916984
6550896,1346207776
6554193,1770542151
6560416,1104898634
6561616,1902874456
6565685,1902874456
6567163,1598718520
6582540,1285663682
6605937,1104898634
6612362,1538237482
6622844,1639395395
6625143,1164436960
6628474,1417008756
6630314,1417008756
6639537,1902916984
6644570,1285663682
6655582,1598714784
6670368,1164515003
6691524,1053360966
6697978,1598714784
6703804,1104898634
6705809,1386670461
6706486,1841322104
6719760,1528088325
6728154,1306906854
6732205,1053360966
6736651,1013009729
6741266,1689605818
6749016,1720101900
6756252,1295705291
6759475,1134280779
6763634,1902916984
6782452,1013009729
6798360,1467519124
6799998,1184727745
6815770,1598714784
6816234,1053360966
6823549,1639395395
6836062,1235200775
6842023,1770542151
6842957,1376550442
6845799,1386670461
6848089,1902916984
6854413,1417008756
6862508,1972554228
6862911,1972554228
6883750,1053360966
6896155,1013009729
6899654,1346207776
6908576,1902916984
6908730,1902916984
6922630,1164436960
6934573,1053360966
6935189,1386670461
6936898,1841322104
6939622,1528088325
6941000,1902916984
6947856,1285725051
6953407,1528088325
6955200,1538237482
6959999,1770542151
6963739,1235200775
6971078,1770542151
6973865,1639395395
6976630,1104898634
6976691,1417008756
6978521,1982609723
6982262,1053360966
6982790,1346207776
6985403,1285663682
6993961,1841322104
6994174,1053360966
6998325,1336246487
6999843,1528088325
7000951,1134280779
7004045,1346207776
7009185,1598714784
7010162,1104898634
7012215,1053486704
7024243,1770542151
7029473,1598714784
7033470,1164515003
7036862,1902916984
7037769,1245210764
7053029,1003892746
7054553,1891803318
7058294,1720101900
